cod,nome,período,valor,regiao
14,RR,2018,414,Norte
23,CE,2018,4900,Nordeste
31,MG,2018,3372,Sudeste
13,AM,2018,1542,Norte
11,RO,2018,476,Norte
52,GO,2018,2675,Centro-Oeste
22,PI,2018,619,Nordeste
42,SC,2018,843,Sul
16,AP,2018,426,Norte
26,PE,2018,4190,Nordeste
21,MA,2018,1982,Nordeste
53,DF,2018,530,Centro-Oeste
29,BA,2018,6787,Nordeste
24,RN,2018,1825,Nordeste
51,MT,2018,989,Centro-Oeste
32,ES,2018,1165,Sudeste
35,SP,2018,3727,Sudeste
17,TO,2018,570,Norte
50,MS,2018,572,Centro-Oeste
33,RJ,2018,6455,Sudeste
25,PB,2018,1244,Nordeste
12,AC,2018,409,Norte
42,SC,2019,767,Sul
22,PI,2019,569,Nordeste
43,RS,2019,2184,Sul
13,AM,2019,1592,Norte
35,SP,2019,3361,Sudeste
17,TO,2019,456,Norte
33,RJ,2019,3552,Sudeste
50,MS,2019,491,Centro-Oeste
12,AC,2019,325,Norte
15,PA,2019,3405,Norte
41,PR,2019,2095,Sul
53,DF,2019,480,Centro-Oeste
27,AL,2019,1115,Nordeste
25,PB,2019,953,Nordeste
32,ES,2019,1043,Sudeste
51,MT,2019,895,Centro-Oeste
24,RN,2019,1346,Nordeste
23,CE,2019,2417,Nordeste
21,MA,2019,1704,Nordeste
26,PE,2019,3474,Nordeste
16,AP,2019,361,Norte
31,MG,2019,2893,Sudeste
52,GO,2019,2253,Centro-Oeste
11,RO,2019,447,Norte
29,BA,2019,6118,Nordeste
14,RR,2019,234,Norte
28,SE,2019,973,Nordeste
25,PB,2020,1141,Nordeste
26,PE,2020,3786,Nordeste
27,AL,2020,1292,Nordeste
24,RN,2020,1406,Nordeste
43,RS,2020,2094,Sul
50,MS,2020,491,Centro-Oeste
21,MA,2020,2103,Nordeste
14,RR,2020,237,Norte
29,BA,2020,7076,Nordeste
22,PI,2020,674,Nordeste
31,MG,2020,2743,Sudeste
53,DF,2020,453,Centro-Oeste
32,ES,2020,1229,Sudeste
13,AM,2020,1326,Norte
11,RO,2020,456,Norte
52,GO,2020,2177,Centro-Oeste
33,RJ,2020,4831,Sudeste
23,CE,2020,3992,Nordeste
12,AC,2020,304,Norte
15,PA,2020,2809,Norte
42,SC,2020,732,Sul
28,SE,2020,981,Nordeste
16,AP,2020,387,Norte
