cod;nome;período;valor
22;PI;2013;598
11;RO;2013;483
15;PA;2013;3405
42;SC;2013;789
29;BA;2013;5694
53;DF;2013;837
35;SP;2013;6035
17;TO;2013;349
52;GO;2013;2975
51;MT;2013;1158
32;ES;2013;1622
43;RS;2013;2322
31;MG;2013;4717
21;MA;2013;2163
27;AL;2013;2148
33;RJ;2013;5111
50;MS;2013;630
14;RR;2013;214
13;AM;2013;1191
24;RN;2013;1447
26;PE;2013;3124
23;CE;2013;4473
25;PB;2013;1551
41;PR;2013;2936
25;PB;2014;1551
12;AC;2014;232
14;RR;2014;158
52;GO;2014;2887
15;PA;2014;3446
50;MS;2014;700
41;PR;2014;2980
28;SE;2014;1097
31;MG;2014;4724
42;SC;2014;905
53;DF;2014;843
35;SP;2014;6185
13;AM;2014;1240
16;AP;2014;256
43;RS;2014;2724
24;RN;2014;1602
22;PI;2014;717
11;RO;2014;578
29;BA;2014;6052
51;MT;2014;1358
32;ES;2014;1609
21;MA;2014;2462
33;RJ;2014;5718
17;TO;2014;381
27;AL;2014;2085
23;CE;2014;4626
26;PE;2014;3358
43;RS;2015;2944
35;SP;2015;5427
14;RR;2015;203
22;PI;2015;650
11;RO;2015;600
32;ES;2015;1450
26;PE;2015;3847
52;GO;2015;2997
16;AP;2015;293
24;RN;2015;1545
51;MT;2015;1203
31;MG;2015;4532
29;BA;2015;6012
53;DF;2015;742
23;CE;2015;4163
21;MA;2015;2438
33;RJ;2015;5067
27;AL;2015;1748
25;PB;2015;1522
12;AC;2015;217
17;TO;2015;503
15;PA;2015;3675
50;MS;2015;634
41;PR;2015;2936
42;SC;2015;957
28;SE;2015;1303
13;AM;2015;1472
31;MG;2016;4622
16;AP;2016;381
29;BA;2016;7171
32;ES;2016;1270
33;RJ;2016;6053
15;PA;2016;4223
53;DF;2016;760
42;SC;2016;984
14;RR;2016;204
35;SP;2016;4870
43;RS;2016;3225
13;AM;2016;1452
28;SE;2016;1465
41;PR;2016;3080
50;MS;2016;671
12;AC;2016;363
25;PB;2016;1355
27;AL;2016;1820
21;MA;2016;2408
51;MT;2016;1180
24;RN;2016;1854
23;CE;2016;3642
26;PE;2016;4447
52;GO;2016;3036
11;RO;2016;703
22;PI;2016;701
17;TO;2016;577
23;CE;2017;5433
26;PE;2017;5419
31;MG;2017;4299
42;SC;2017;1066
27;AL;2017;1813
16;AP;2017;383
41;PR;2017;2759
11;RO;2017;554
24;RN;2017;2203
35;SP;2017;4631
17;TO;2017;557
51;MT;2017;1102
29;BA;2017;7487
28;SE;2017;1313
32;ES;2017;1521
13;AM;2017;1674
15;PA;2017;4575
21;MA;2017;2180
12;AC;2017;516
50;MS;2017;659
22;PI;2017;626
43;RS;2017;3316
33;RJ;2017;6416
14;RR;2017;248
25;PB;2017;1341
52;GO;2017;2901
53;DF;2017;610
43;RS;2018;2699
15;PA;2018;4528
41;PR;2018;2443
28;SE;2018;1133
27;AL;2018;1441
14;RR;2018;414
23;CE;2018;4900
31;MG;2018;3372
13;AM;2018;1542
11;RO;2018;476
52;GO;2018;2675
22;PI;2018;619
42;SC;2018;843
16;AP;2018;426
26;PE;2018;4190
21;MA;2018;1982
53;DF;2018;530
29;BA;2018;6787
24;RN;2018;1825
51;MT;2018;989
32;ES;2018;1165
35;SP;2018;3727
17;TO;2018;570
50;MS;2018;572
33;RJ;2018;6455
25;PB;2018;1244
12;AC;2018;409
42;SC;2019;767
22;PI;2019;569
43;RS;2019;2184
13;AM;2019;1592
35;SP;2019;3361
17;TO;2019;456
33;RJ;2019;3552
50;MS;2019;491
12;AC;2019;325
15;PA;2019;3405
41;PR;2019;2095
53;DF;2019;480
27;AL;2019;1115
25;PB;2019;953
32;ES;2019;1043
51;MT;2019;895
24;RN;2019;1346
23;CE;2019;2417
21;MA;2019;1704
26;PE;2019;3474
16;AP;2019;361
31;MG;2019;2893
52;GO;2019;2253
11;RO;2019;447
29;BA;2019;6118
14;RR;2019;234
28;SE;2019;973
25;PB;2020;1141
26;PE;2020;3786
27;AL;2020;1292
24;RN;2020;1406
43;RS;2020;2094
50;MS;2020;491
21;MA;2020;2103
14;RR;2020;237
29;BA;2020;7076
22;PI;2020;674
31;MG;2020;2743
53;DF;2020;453
32;ES;2020;1229
13;AM;2020;1326
11;RO;2020;456
52;GO;2020;2177
33;RJ;2020;4831
23;CE;2020;3992
12;AC;2020;304
15;PA;2020;2809
42;SC;2020;732
28;SE;2020;981
16;AP;2020;387
51;MT;2020;987
41;PR;2020;2281
35;SP;2020;3396
17;TO;2020;484
52;GO;2021;1812
32;ES;2021;1253
33;RJ;2021;4693
31;MG;2021;2577
51;MT;2021;888
24;RN;2021;1179
27;AL;2021;1070
22;PI;2021;766
42;SC;2021;712
21;MA;2021;1999
53;DF;2021;401
26;PE;2021;3439
35;SP;2021;3094
25;PB;2021;1144
28;SE;2021;790
23;CE;2021;3471
15;PA;2021;2847
16;AP;2021;462
11;RO;2021;536
17;TO;2021;441
13;AM;2021;1816
29;BA;2021;7206
14;RR;2021;258
41;PR;2021;2348
50;MS;2021;551
43;RS;2021;1889
12;AC;2021;205
14;RR;2022;231
41;PR;2022;2600
51;MT;2022;1077
33;RJ;2022;3762
23;CE;2022;3030
53;DF;2022;357
35;SP;2022;3212
52;GO;2022;1687
50;MS;2022;550
16;AP;2022;358
11;RO;2022;601
42;SC;2022;671
12;AC;2022;238
31;MG;2022;2699
43;RS;2022;1964
32;ES;2022;1147
13;AM;2022;1771
29;BA;2022;6776
17;TO;2022;454
28;SE;2022;770
22;PI;2022;794
27;AL;2022;1136
